gender,age,area,edu,pressure
1,60.5,2,15,2
2,53,2,13,2
1,45,3,15,1
1,44,3,16,1
1,42,3,11,3
1,32,2,20,1
1,48,3,11,2
1,29,1,10,2
1,51,3,11,2
1,37,3,16,2
1,48,2,12,2
1,31,1,16,0
1,28,3,16,2
1,42,1,16,1
1,54,2,14,1
1,44,1,12,3
1,40,2,15,1
1,51,1,10,2
1,35,1,15,0
1,32,1,15,2
1,48,2,14,1
1,41,1,17,2
1,41,1,13,1
1,38,1,15,3
1,60,3,12,1
1,35,1,12,1
1,54,3,9,3
1,52,2,14,3
1,51,2,16,2
1,49,2,12,2
1,46,1,13,3
1,33,1,16,1
1,57,1,9,1
1,39,1,12,3
1,32,3,12,2
1,52,3,9,0
2,51,3,17,2
2,43,2,12,1
2,32,2,20,1
2,37,3,12,2
2,47,1,9,2
2,52,1,15,2
2,39,3,11,2
2,30,3,15,0
2,54,1,13,2
2,38,2,13,2
2,39,2,14,2
2,42,2,14,2
2,47,1,12,0
2,33,3,16,2
2,48,3,11,3
2,48,2,9,1
2,42,3,13,1
2,48,2,14,1
2,33,2,12,2
2,34,2,18,0
2,59,2,10,3
2,52,2,12,3
2,51,3,12,3
2,52,2,13,2
2,56,3,15,1
1,57,2,11,2
2,31,1,9,1
2,35,1,14,0
1,32,1,15,2
1,40,3,13,2
1,43,3,12,1
1,41,3,12,3
1,61,1,6,0
1,42,1,13,3
1,43,3,15,2
1,52,3,12,1
1,42,2,11,1
1,58,1,9,0
1,34,1,12,0
1,63,1,9,0
1,40,1,17,1
1,52,3,12,1
1,57,3,12,0
1,54,1,11,2
1,40,2,12,0
1,34,3,12,2
1,41,2,16,1
1,38,3,16,3
2,56,1,8,2
2,41,2,14,2
2,56,2,8,1
2,44,1,15,2
2,50,3,14,0
2,38,2,12,2
2,56,1,9,2
2,60,2,10,0
2,55,1,10,1
2,37,2,13,0
2,39,3,13,2
2,53,2,13,0
2,54,1,10,2
2,40,2,15,2
2,42,1,15,3
2,37,1,13,2
2,48,1,15,1
2,43,3,15,2
2,45,2,14,1
2,50,2,10,2
2,43,2,15,1
2,40,1,16,2
2,40,3,12,2
2,47,2,11,2
2,50,2,12,1
2,55,2,10,0
1,47,2,16,1
1,47,2,18,2
1,36,3,19,0
1,53,1,9,2
1,47,3,13,2
1,29,1,16,3
1,42,3,16,0
2,42,3,12,1
2,43,3,12,2
2,54,2,9,3
2,46,3,11,1
2,54,2,12,1
2,46,3,14,2
2,48,2,15,3
2,45,1,15,1
2,34,1,15,1
2,42,3,16,1
2,54,1,15,1
2,53,1,13,2
1,38,1,13,3
1,42,2,19,3
1,45,3,14,1
1,55,2,13,1
1,37,2,18,2
1,58,3,12,0
1,38,3,16,2
1,37,1,17,2
1,47,2,15,1
1,39,1,20,2
1,35,3,22,2
1,56,3,10,0
1,47,3,10,0
1,37,2,20,2
1,39,1,15,1
1,45,2,12,0
1,46,2,14,0
1,53,2,15,2
1,37,3,17,3
1,45,3,13,2
1,44,1,17,2
1,48,2,12,0
1,55,3,12,0
1,30,3,20,2
1,45,3,17,3
1,41,3,15,2
1,29,1,22,1
1,57,2,10,1
1,44,2,18,2
1,41,2,15,1
1,47,1,12,1
1,55,3,15,1
1,54,2,18,0
1,46,3,11,3
1,47,1,17,2
1,59,2,12,0
1,42,2,12,1
1,46,2,14,2
1,48,2,14,3
1,43,1,15,2
1,47,3,20,2
1,54,1,15,1
1,56,3,10,1
1,52,1,9,2
1,46,3,16,0
1,44,2,12,2
1, ,3,19,1
1,56,2,12,0
1,47,1,11,1
1,34,2,12,2
1,46,3,15,2
1,62,3,18,1
1,62,1,15,1
1,44,2,16,2
1,50,2,16,2
1,58,1,8,1
1,48,2,15,2
1,59,1,10,2
1,42,2,19,2
1,48,2,11,1
1,47,3,14,1
1,47,3,15,2
1,36,3,19,3
1,38,3,19,3
1,59,3,11,0
1,37,1,16,2
1,50,3,17,2
1,43,1,15,2
1,44,2,15,2
1,56,1,9,0
2,39,3,18,0
2,32,2,21,2
2,53,1,15,2
2,42,2,15,2
2,59,2,14,1
2,32,3,22,1
2,45,3,10,0
2,33,1,18,1
2,38,3,22,1
2,45,3,14,0
2,39,2,11,1
2,47,2,12,1
2,42,3,16,1
2,36,3,19,2
2,46,2,16,0
2,48,1,15,1
2,36,1,23,1
2,37,2,18,3
2,48,3,14,3
2,46,3,10,2
2,55,2,14,1
